"ESTUDIO";"REGISTRO";"CUES";"CCAA";"PROV";"MUN";"CAPITAL";"ENTREV";"TAMUNI";"TIPO_TEL";"SEXO";"EDAD";"P0";"P0A";"PROBVOTO";"RAZONESVOTO";"VOTOCORREO";"DUDACORREO";"VOTOCORREOEMITIDO1";"VOTODUDA1";"VOTODUDA2";"VOTOCORREOEMITIDO2";"VOTOCORREOEMITIDOCONJUNTO";"FIDELVOTOCORREO";"INTENCIONG";"CORREOEMITIDOINTENCIONGR";"ESCIDEOL";"PREFPTE";"PARTICIPACIONG";"RECUVOTOG";"RECUERDO";"CERCANIA";"ESCUELA";"NIVELESTENTREV";"ESTUDIOS";"SITLAB";"RELALAB";"CNO11";"CNO11R";"INGRESHOG";"CLASESOCIAL";"CLASESUB";"SINCERIDAD";"PESO";"PESOCCAA";"IA_I501";"IA_I502";"IA_I503";"IA_I504";"IA_I505";"IA_I506";"IA_I507";"IA_I508";"IA_I509";"IA_I510";"IA_I511";"IA_I512";"IA_I513";"IA_I514";"IA_I515";"IA_I516";"IA_I517";"IA_I518";"IA_I519";"IA_I520";"IA_I521";"IA_I522";"IA_I523";"IA_I524";"IA_I525";"IA_I526";"IA_I528";"IA_I529";"IA_I530";"IA_I531";"IA_I532";"IA_I533";"IA_I534";"IA_I535";"IA_I536";"IA_I537";"IA_I538";"IA_I539";"IA_I540";"IA_I541";"IA_I542";"IA_I543";"IA_OBS1";"IA_OBS2";"IA_E1_DIA";"IA_E1_MES";"IA_E1_ANYO";"IA_E2";"IA_E3";"IA_E4";"IA_VALIDA";"IA_APLAZADA";"IA_MODIFICADA";"IA_SUPERVISADA";"IA_C2";"IA_C2A";"IA_C2B_1";"IA_C2B_2";"IA_C2B_3";"IA_C2B_4";"IA_C2B_5";"IA_C2B_6";"IA_C2B_7";"IA_C2B_8";"IA_C2B_9";"IA_C2B_10";"IA_C2B_11";"IA_C2B_12";"IA_C2B_13";"IA_C2B_14";"IA_C2B_15";"IA_C2B_16";"IA_C2B_17";"IA_C2B_18";"IA_C2B_19";"IA_C2B_20";"IA_C2B_21";"IA_C2B_22";"IA_C2B_23";"IA_C2B_24";"IA_C2B_25";"IA_C3";"IA_C4";"RECUVOTOGR";"VOTOCORREOEMITIDO1R";"VOTODUDA1R";"VOTODUDA2R";"P3A2COM";"VOTOCORREOEMITIDO2R";"INTENCIONGR";"INTENCIONGRA";"INTENCIONGALTER";"INTENCIONGALTERR";"SIMPATIA";"VOTOSIMG";"VOTOSIMGCONJUNTO"
3415;74534;5800;1;4;0;3;0;1;2;2;36;1;1;10;3;4;0;0;0;0;0;0;0;2;2;7;2;1;2;2;8995;3;4;3;7;0;0;14;1;2;1;2;1,20834;1,52496;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;7;0;0;0;0;5;0;"";"";11;7;23;2;7;3;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";2;0;0;0;0;0;2;2;3;3;0;2;2
3415;122555;8694;1;4;0;3;0;1;2;2;26;1;1;10;5;4;0;0;0;0;0;0;0;21;21;2;4;1;4;4;21;3;9;6;4;0;0;16;5;3;2;2;1,38491;1,95851;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"";"";12;7;23;3;6;4;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";4;0;0;0;0;0;21;21;1;1;0;21;21
3415;121271;8586;1;4;0;3;0;3;2;2;26;1;1;10;6;4;0;0;0;0;0;0;0;3;3;10;3;1;3;3;3;3;4;3;1;1;4;4;5;3;2;1;1,31543;1,47756;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;15;1;0;0;0;14;0;"";"";12;7;23;3;8;4;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";3;0;0;0;0;0;3;3;2;2;0;3;3
3415;19556;1893;1;4;0;3;0;1;1;1;54;1;1;6;96;3;2;0;1;21;21;21;1;0;21;3;4;1;4;4;21;3;9;6;1;1;5;5;6;4;3;1;0,99432;1,16901;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;5;0;0;0;0;7;0;"";"";10;7;23;1;4;3;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";4;0;1;21;10021;21;0;21;0;0;0;0;21
3415;14372;1437;1;4;0;3;0;2;2;2;46;1;1;10;6;4;0;0;0;0;0;0;0;3;3;9;3;1;3;3;3;3;9;6;1;1;2;2;2;3;2;1;1,14414;1,23938;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;1;0;"";"";10;7;23;1;8;2;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";3;0;0;0;0;0;3;3;8996;8996;0;3;3
3415;225;1;1;4;13;2;0;5;2;2;65;1;1;10;5;4;0;0;0;0;0;0;0;2;2;8;2;1;2;2;2;3;9;6;2;0;0;12;1;3;2;2;0,90076;0,857;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;10;0;"";"";10;7;23;1;7;1;1;0;0;1;6;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";1;0;2;0;0;0;0;0;2;2;9997;9997;0;2;2
3415;2024;163;1;4;13;2;0;5;2;2;43;1;1;10;6;4;0;0;0;0;0;0;0;9999;9999;99;99;1;9999;9999;9999;3;8;6;1;1;9;9;5;98;8;3;0,92381;0,78287;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;5;0;"";"";10;7;23;1;8;1;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";9999;0;0;0;0;0;9999;9999;0;0;9999;9999;9999
3415;2651;240;1;4;13;2;0;5;2;1;64;1;1;10;3;4;0;0;0;0;0;0;0;1;1;4;1;1;1;1;1;3;2;2;1;1;8;8;6;5;4;1;0,72448;0,61662;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;"";"";10;7;23;1;11;1;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";1;0;0;0;0;0;1;1;21;21;0;1;1
3415;3997;360;1;4;13;2;0;5;2;2;66;1;1;10;3;4;0;0;0;0;0;0;0;2;2;8;2;1;2;2;2;3;4;3;7;0;0;14;5;3;2;2;0,90076;0,857;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;6;2;"";"";10;7;23;1;8;3;1;0;0;1;6;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";1;0;2;0;0;0;0;0;2;2;3;3;0;2;2
3415;5203;486;1;4;13;2;0;5;2;1;58;1;1;0;97;5;0;0;0;0;0;0;0;9997;9997;2;97;1;4;4;4;3;6;4;1;1;4;4;4;5;4;1;0,72448;0,61662;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;9;0;0;0;0;7;0;"";"";11;7;23;2;8;2;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";4;0;0;0;0;0;9997;9997;0;0;4;21;21
